participant,group,country,trial_id,word,input_text,response_type,test_language,accuracy,correct,typing_onset,close_substitutions,same_onset,consecutive_longest,freq,pthn,similarity_phon,similarity_ort
11311,ENG-CAT,UK,121,camisa,short,typo,Catalan,6,0,0.615999937,0.285714285714285,different,0,46.3725,6,0,0.166666666666667
11311,ENG-CAT,UK,122,casa,house,correct,Catalan,4,0,1.250999928,0,different,,514,1,0.25,0.2
11311,ENG-CAT,UK,123,cavall,horse,correct,Catalan,6,0,1.600999832,0,different,0,92.8824,2,0,0
11311,ENG-CAT,UK,124,cirera,mermaid,wrong,Catalan,6,0,2.750999928,0,different,1,13.5882,6,0.2,0.5
11311,ENG-CAT,UK,125,colom,,blank,Catalan,,,2.28399992,0,different,,5.902,0,0,0.166666666666667
11311,ENG-CAT,UK,126,corona,cown,correct,Catalan,3,0,5.368000031,0,same_consonant,1,13.6863,4,0.545454545454545,0.5
11311,ENG-CAT,UK,127,cotxe,car,correct,Catalan,4,0,1.182999849,0,same_consonant,1,483.0588,2,0.333333333333333,0.2
11311,ENG-CAT,UK,128,cuc,rof,wrong,Catalan,3,0,4.251000166,0,different,0,10.1176,8,0,0
11311,ENG-CAT,UK,129,dit,,blank,Catalan,,,1.117000103,0,different,0,36.6667,0,0.25,0.166666666666667
11311,ENG-CAT,UK,130,entrepa,people,wrong,Catalan,6,0,2.899999857,0,different,1,21.9216,0,0.153846153846153,0.125
11311,ENG-CAT,UK,131,esponja,,blank,Catalan,,,4.082999945,0.333333333333333,different,2,6.7059,0,0.5,0.571428571428571
11311,ENG-CAT,UK,132,estrella,star,correct,Catalan,,,0.348999977,0,different,2,81.3529,3,0.4,0.375
11311,ENG-CAT,UK,133,estruc,ostrich,correct,Catalan,4,0,1.332999945,0,different,3,0.94118,0,0.5,0.428571428571429
11311,ENG-CAT,UK,134,flor,flower,correct,Catalan,2,0,0.23300004,0,same_consonant,2,22.7647,1,0.5,0.666666666666667
11311,ENG-CAT,UK,135,formiga,ant,correct,Catalan,7,0,0.5,0,different,1,5.3529,9,0,0
11311,ENG-CAT,UK,136,forquilla,fork,correct,Catalan,6,0,3.585000038,0,same_consonant,0,8.8235,12,0.4,0.333333333333333
11311,ENG-CAT,UK,137,fulla,leaf,correct,Catalan,4,0,1.199999809,0,different,,5.1961,13,0.285714285714285,0.2
11311,ENG-CAT,UK,138,galeta,cock,wrong,Catalan,6,0,1.750999928,0,different,1,,,0.166666666666666,0
11311,ENG-CAT,UK,139,galleda,cracker,correct,Catalan,6,0,3.832999945,0,different,1,10.0196,1,0,0.142857142857143
11311,ENG-CAT,UK,140,gat,cat,correct,Catalan,1,0,1.001000166,0.333333333333333,different,2,66.3333,9,0.666666666666666,0.666666666666667
11311,ENG-CAT,UK,141,gerd,unsure,other,Catalan,5,0,3.76699996,0,different,,16.7843,4,0.25,0.2
11311,ENG-CAT,UK,142,girafa,giraffe,correct,Catalan,2,0,0.350000143,0.181818181818181,different,2,1.4902,0,0.545454545454545,0.714285714285714
11311,ENG-CAT,UK,143,globus,gloves,false_friend,Catalan,2,0,2.334000111,0,different,1,8.6667,0,0.363636363636363,0.142857142857143
11311,ENG-CAT,UK,144,gorra,,blank,Catalan,,,4.650000095,0.285714285714285,different,,18.7451,11,0,0
11311,ENG-CAT,UK,145,got,god,wrong,Catalan,1,0,4.183000088,0.666666666666666,different,,51.6471,6,0,0
11311,ENG-CAT,UK,146,guitarra,guitar,correct,Catalan,2,0,0.15199995,0,same_consonant,3,15.5882,0,0.6,0.75
11311,ENG-CAT,UK,147,jaqueta,jacket,correct,Catalan,3,0,0.549000025,0.181818181818181,different,2,33.4118,0,0.363636363636363,0.571428571428571
11311,ENG-CAT,UK,148,lleo,unsure,other,Catalan,6,0,3.582999945,0,different,1,15.3529,1,0.25,0.25
11311,ENG-CAT,UK,149,llibre,book,correct,Catalan,6,0,1.083999872,0,different,0,176.9804,3,0,0
11311,ENG-CAT,UK,150,lloro,gold,wrong,Catalan,4,0,2.334000111,0,different,1,3.2745,2,0.222222222222222,0.333333333333333
11311,ENG-CAT,UK,151,lluna,moon,correct,Catalan,4,0,0.565000057,0,different,2,49.9608,6,0.571428571428571,0.2
11311,ENG-CAT,UK,152,ma,,blank,Catalan,,,1.131999969,0,different,2,279.6471,2,0.333333333333333,0.25
11311,ENG-CAT,UK,153,mico,freind,typo,Catalan,5,0,1.267999887,0,same_consonant,1,33.5098,1,0.444444444444444,0.166666666666667
11311,ENG-CAT,UK,154,mirall,view,wrong,Catalan,5,0,1.700000048,0,same_consonant,,24.1765,0,0.666666666666666,0.5
11311,ENG-CAT,UK,155,moneda,coin,correct,Catalan,5,0,1.218000174,0,different,1,9.7451,6,0.2,0.166666666666667
11311,ENG-CAT,UK,156,moto,motorbike,correct,Catalan,5,0,1.299999952,0,same_consonant,1,0.7451,0,0.307692307692307,0.444444444444444
11311,ENG-CAT,UK,157,mussol,museum,wrong,Catalan,3,0,0.86500001,0,different,1,5.6078,10,0.5,0.166666666666667
11311,ENG-CAT,UK,158,nas,,blank,Catalan,,,3.48300004,0,same_consonant,1,69.7451,6,0.285714285714285,0.5
11311,ENG-CAT,UK,159,onada,a bird,wrong,Catalan,6,0,1.984999895,0.222222222222222,different,0,21.2549,8,0,0.2
11311,ENG-CAT,UK,160,orella,ear,correct,Catalan,5,0,1.8349998,0,different,,32,9,0.285714285714285,0.166666666666667
11311,ENG-CAT,UK,161,ovella,hotel,wrong,Catalan,4,0,1.883999825,0,different,0,13.4314,8,0,0.166666666666667
11311,ENG-CAT,UK,162,pa,bread,correct,Catalan,4,0,1.26699996,0.333333333333333,different,0,28.3333,5,0,0.2
11311,ENG-CAT,UK,163,papallona,papaya,wrong,Catalan,4,0,3.203999996,0.125,different,1,5.5098,0,0.125,0
11311,ENG-CAT,UK,164,patata,potato,correct,Catalan,2,0,0.184000015,0,same_consonant,1,11.2941,0,0.714285714285714,0.666666666666667
11311,ENG-CAT,UK,165,pernil,ork,wrong,Catalan,5,0,3.316999912,0,different,,11.5882,18,0,0
11311,ENG-CAT,UK,166,peu,piece,wrong,Catalan,3,0,1.25,0,different,,64.9216,5,0,0
11311,ENG-CAT,UK,167,pingui,penguin,correct,Catalan,4,0,0.500999928,0,same_consonant,5,2.8824,0,0.769230769230769,0.428571428571429
11311,ENG-CAT,UK,168,planta,plant,correct,Catalan,1,0,0.434000015,0,same_consonant,,27.6078,4,0.727272727272727,0.833333333333333
11311,ENG-CAT,UK,169,plat,plate,correct,Catalan,1,0,0.983999968,0,same_consonant,2,25.6471,7,0.666666666666666,0.8
11311,ENG-CAT,UK,170,ploma,lead,wrong,Catalan,4,0,0.881999969,0,different,0,6.6275,6,0.222222222222222,0
11311,ENG-CAT,UK,171,pollastre,chicken,correct,Catalan,9,0,1.667000055,0,different,0,61.7255,0,0,0
11311,ENG-CAT,UK,172,poma,cream,wrong,Catalan,4,0,2.750999928,0,different,1,23.6667,0,0.285714285714285,0.2
11311,ENG-CAT,UK,173,porc,pork,correct,Catalan,1,0,2.052000046,0,same_consonant,,,,0.857142857142857,0.375
11311,ENG-CAT,UK,174,porta,door,correct,Catalan,4,0,0.766000032,0,different,0,292.0588,5,0.285714285714285,0.2
11311,ENG-CAT,UK,175,raspall,,blank,Catalan,,,0.667000055,0.2,different,0,14.1569,2,0.2,0.142857142857143
11311,ENG-CAT,UK,176,samarreta,scorpion,wrong,Catalan,7,0,2.55099988,0,different,1,,,0.153846153846153,0.222222222222222
11311,ENG-CAT,UK,177,sol,sun,correct,Catalan,2,0,1.198999882,0.333333333333333,same_consonant,1,69.6667,13,0.333333333333333,0.333333333333333
11311,ENG-CAT,UK,178,taronja,slice,wrong,Catalan,7,0,0.865999937,0.166666666666666,different,1,22.3137,0,0.166666666666666,0.285714285714286
11311,ENG-CAT,UK,179,tigre,tiger,correct,Catalan,1,0,1.867000103,0,same_consonant,1,18.5294,0,0.8,0.8
11311,ENG-CAT,UK,180,tisores,treasure,wrong,Catalan,5,0,1.032999992,0.166666666666666,different,1,6.6863,1,0.5,0.5
11311,ENG-CAT,UK,181,tobogan,toucan,wrong,Catalan,3,0,1.299999952,0,different,1,17.8235,2,0.166666666666666,0
11311,ENG-CAT,UK,182,tomaquet,,blank,Catalan,,,1.815999985,0,same_consonant,1,5.902,0,0.285714285714285,0.375
11311,ENG-CAT,UK,183,tren,train,correct,Catalan,2,0,0.767000198,0.222222222222222,same_consonant,3,95.0588,0,0.666666666666666,0.6
11311,ENG-CAT,UK,184,ull,jungle,wrong,Catalan,4,0,3.950999975,0,different,,111.7843,18,0,0
11311,ENG-CAT,UK,185,ulleres,ears,wrong,Catalan,5,0,1.565999985,0,different,1,33.1176,0,0.166666666666666,0.428571428571429
11311,ENG-CAT,UK,186,ungla,nail,correct,Catalan,4,0,2.76699996,0,different,,18.6471,8,0.222222222222222,0.2
11311,ENG-CAT,UK,187,vaixell,comb,wrong,Catalan,7,0,4.782999992,0,same_consonant,1,95.7843,5,0.444444444444444,0
11311,ENG-CAT,UK,188,xocolata,chocolate,correct,Catalan,3,0,0.71600008,0.133333333333333,different,1,29.3922,0,0.4,0.666666666666667
11311,ENG-CAT,UK,189,zebra,zebra,correct,Catalan,0,1,1.167000055,0.2,same_consonant,2,2.5098,0,0.6,1
11399,ENG-CAT,UK,104,abella,party,wrong,Catalan,6,0,2.049999952,0,different,,10.3529,27,0.285714285714285,0.333333333333333
11399,ENG-CAT,UK,105,aigua,iguana,wrong,Catalan,3,0,0.98300004,0,different,,225.0588,0,0.444444444444444,0
11399,ENG-CAT,UK,106,aixeta,roof,wrong,Catalan,6,0,1.232999802,0,different,0,14.7451,8,0.25,0.166666666666667
11399,ENG-CAT,UK,107,amanida,jellyfish,wrong,Catalan,8,0,2.416000128,0,different,3,17.0196,0,0.166666666666666,0.285714285714286
11399,ENG-CAT,UK,108,ampolla,loud,wrong,Catalan,6,0,6.865999937,0,different,1,50.7451,0,0,0.142857142857143
11399,ENG-CAT,UK,109,arbre,well done,wrong,Catalan,8,0,1.464999914,0,different,1,65,5,0.285714285714285,0.4
11399,ENG-CAT,UK,110,berenar,brother,wrong,Catalan,5,0,2.582999945,0,different,,9.1373,5,0.4,0.142857142857143
11399,ENG-CAT,UK,111,bibero,alive,wrong,Catalan,5,0,0.96600008,0,same_consonant,1,50.7451,0,0.2,0.166666666666667
11399,ENG-CAT,UK,112,bici,biscuit,wrong,Catalan,3,0,1.683000088,0,same_consonant,1,25.8824,9,0.5,0.5
11399,ENG-CAT,UK,113,boca,bull,wrong,Catalan,3,0,2.066999912,0.25,different,1,104.4118,0,0,0.2
11399,ENG-CAT,UK,114,bol,ball,wrong,Catalan,2,0,1.184000015,0,same_consonant,1,21.451,12,0.571428571428571,0.75
11399,ENG-CAT,UK,115,bolet,ticket,wrong,Catalan,4,0,4.049999952,0.181818181818181,different,,2.1373,1,0.181818181818181,0
11399,ENG-CAT,UK,116,bolquer,bouquet,wrong,Catalan,2,0,1.715999842,0,different,1,0.78431,8,0,0
11399,ENG-CAT,UK,117,boto,butter,wrong,Catalan,4,0,1.616999865,0,same_consonant,1,28.2549,0,0.5,0.333333333333333
11399,ENG-CAT,UK,118,bou,bow,wrong,Catalan,1,0,1.916999817,0,same_consonant,,27.5098,6,0.666666666666666,0.25
11399,ENG-CAT,UK,119,caixa,soup,wrong,Catalan,5,0,1.582999945,0,different,1,89.7451,0,0.25,0.2
11399,ENG-CAT,UK,120,cama,milk,wrong,Catalan,4,0,1.266000032,,,,187.1176,4,,0
11399,ENG-CAT,UK,121,camisa,table cloth,wrong,Catalan,10,0,2.549999952,0.285714285714285,different,0,46.3725,6,0,0.166666666666667
11399,ENG-CAT,UK,122,casa,soup,wrong,Catalan,4,0,2.065999985,0,different,,514,1,0.25,0.2
11399,ENG-CAT,UK,123,cavall,sweets,wrong,Catalan,6,0,1.384000063,0,different,0,92.8824,2,0,0
11399,ENG-CAT,UK,124,cirera,sister,wrong,Catalan,4,0,0.964999914,0,different,1,13.5882,6,0.2,0.5
11399,ENG-CAT,UK,125,colom,long,wrong,Catalan,4,0,5.400000095,0,different,,5.902,0,0,0.166666666666667
11399,ENG-CAT,UK,126,corona,donkey,wrong,Catalan,5,0,10.08299994,0,same_consonant,1,13.6863,4,0.545454545454545,0.5
11399,ENG-CAT,UK,127,cotxe,guide,wrong,Catalan,4,0,5.148999929,0,same_consonant,1,483.0588,2,0.333333333333333,0.2
11399,ENG-CAT,UK,128,cuc,cow,wrong,Catalan,2,0,1.865999937,0,different,0,10.1176,8,0,0
11399,ENG-CAT,UK,129,dit,speech,wrong,Catalan,6,0,2.867000103,0,different,0,36.6667,0,0.25,0.166666666666667
11399,ENG-CAT,UK,130,entrepa,circus,wrong,Catalan,6,0,3.214999914,0,different,1,21.9216,0,0.153846153846153,0.125
11399,ENG-CAT,UK,131,esponja,spoge,correct,Catalan,4,0,0.48300004,0.333333333333333,different,2,6.7059,0,0.5,0.571428571428571
11399,ENG-CAT,UK,132,estrella,sausage,wrong,Catalan,,,3.900000095,0,different,2,81.3529,3,0.4,0.375
11399,ENG-CAT,UK,133,estruc,oven,wrong,Catalan,6,0,3.532999992,0,different,3,0.94118,0,0.5,0.428571428571429
11399,ENG-CAT,UK,134,flor,fly,wrong,Catalan,2,0,1.600000143,0,same_consonant,2,22.7647,1,0.5,0.666666666666667
11399,ENG-CAT,UK,135,formiga,cheese,wrong,Catalan,7,0,1.316999912,0,different,1,5.3529,9,0,0
11399,ENG-CAT,UK,136,forquilla,pasta,wrong,Catalan,8,0,1.532999992,0,same_consonant,0,8.8235,12,0.4,0.333333333333333
11399,ENG-CAT,UK,137,fulla,money,wrong,Catalan,5,0,0.949999809,0,different,,5.1961,13,0.285714285714285,0.2
11399,ENG-CAT,UK,138,galeta,letter,wrong,Catalan,5,0,1.717000008,0,different,1,,,0.166666666666666,0
11399,ENG-CAT,UK,139,galleda,grandmother,wrong,Catalan,9,0,2.282999992,0,different,1,10.0196,1,0,0.142857142857143
11399,ENG-CAT,UK,140,gat,fork,wrong,Catalan,4,0,2.666000128,0.333333333333333,different,2,66.3333,9,0.666666666666666,0.666666666666667
11399,ENG-CAT,UK,141,gerd,wife,wrong,Catalan,4,0,3.717000008,0,different,,16.7843,4,0.25,0.2
11399,ENG-CAT,UK,142,girafa,giraffe,correct,Catalan,2,0,0.549000025,0.181818181818181,different,2,1.4902,0,0.545454545454545,0.714285714285714
11399,ENG-CAT,UK,143,globus,drink,wrong,Catalan,6,0,1.365999937,0,different,1,8.6667,0,0.363636363636363,0.142857142857143
11399,ENG-CAT,UK,144,gorra,tree,wrong,Catalan,4,0,8.717000008,0.285714285714285,different,,18.7451,11,0,0
11399,ENG-CAT,UK,145,got,god,wrong,Catalan,1,0,1.315999985,0.666666666666666,different,,51.6471,6,0,0
11399,ENG-CAT,UK,146,guitarra,guitar,correct,Catalan,2,0,0.332999945,0,same_consonant,3,15.5882,0,0.6,0.75
11399,ENG-CAT,UK,147,jaqueta,jacket,correct,Catalan,3,0,0.717000008,0.181818181818181,different,2,33.4118,0,0.363636363636363,0.571428571428571
11399,ENG-CAT,UK,148,lleo,my,wrong,Catalan,4,0,2.383000135,0,different,1,15.3529,1,0.25,0.25
11399,ENG-CAT,UK,149,llibre,free,wrong,Catalan,5,0,1.98300004,0,different,0,176.9804,3,0,0
11399,ENG-CAT,UK,150,lloro,leek,wrong,Catalan,4,0,2.165999889,0,different,1,3.2745,2,0.222222222222222,0.333333333333333
11399,ENG-CAT,UK,151,lluna,moon,correct,Catalan,4,0,1.348999977,0,different,2,49.9608,6,0.571428571428571,0.2
11399,ENG-CAT,UK,152,ma,strawberry,wrong,Catalan,9,0,1.200000048,0,different,2,279.6471,2,0.333333333333333,0.25
11399,ENG-CAT,UK,153,mico,me,wrong,Catalan,3,0,2.616999865,0,same_consonant,1,33.5098,1,0.444444444444444,0.166666666666667
11399,ENG-CAT,UK,154,mirall,painting,wrong,Catalan,7,0,4.065999985,0,same_consonant,,24.1765,0,0.666666666666666,0.5
11399,ENG-CAT,UK,155,moneda,mother,wrong,Catalan,4,0,0.616000175,0,different,1,9.7451,6,0.2,0.166666666666667
11399,ENG-CAT,UK,156,moto,aunt,wrong,Catalan,4,0,3.133000135,0,same_consonant,1,0.7451,0,0.307692307692307,0.444444444444444
11399,ENG-CAT,UK,157,mussol,rubbish,wrong,Catalan,6,0,1.898999929,0,different,1,5.6078,10,0.5,0.166666666666667
11399,ENG-CAT,UK,158,nas,nose,correct,Catalan,2,0,1.166000128,0,same_consonant,1,69.7451,6,0.285714285714285,0.5
11399,ENG-CAT,UK,159,onada,oh no,wrong,Catalan,4,0,2.199999809,0.222222222222222,different,0,21.2549,8,0,0.2
11399,ENG-CAT,UK,160,orella,umbrella,wrong,Catalan,3,0,0.434000015,0,different,,32,9,0.285714285714285,0.166666666666667
11399,ENG-CAT,UK,161,ovella,dark,wrong,Catalan,6,0,2.817000151,0,different,0,13.4314,8,0,0.166666666666667
11399,ENG-CAT,UK,162,pa,oh dear,wrong,Catalan,6,0,4.100000143,0.333333333333333,different,0,28.3333,5,0,0.2
11399,ENG-CAT,UK,163,papallona,father,wrong,Catalan,8,0,1.148999929,0.125,different,1,5.5098,0,0.125,0
11399,ENG-CAT,UK,164,patata,potato,correct,Catalan,2,0,1.431999922,0,same_consonant,1,11.2941,0,0.714285714285714,0.666666666666667
11399,ENG-CAT,UK,165,pernil,parsnip,wrong,Catalan,3,0,3.915999889,0,different,,11.5882,18,0,0
11399,ENG-CAT,UK,166,peu,sky,wrong,Catalan,3,0,1.883000135,0,different,,64.9216,5,0,0
11399,ENG-CAT,UK,167,pingui,penguin,correct,Catalan,4,0,0.75,0,same_consonant,5,2.8824,0,0.769230769230769,0.428571428571429
11399,ENG-CAT,UK,168,planta,plant,correct,Catalan,1,0,0.733999968,0,same_consonant,,27.6078,4,0.727272727272727,0.833333333333333
11399,ENG-CAT,UK,169,plat,blood,wrong,Catalan,4,0,1.832999945,0,same_consonant,2,25.6471,7,0.666666666666666,0.8
11399,ENG-CAT,UK,170,ploma,plumb,wrong,Catalan,2,0,0.450000048,0,different,0,6.6275,6,0.222222222222222,0
11399,ENG-CAT,UK,171,pollastre,priest,wrong,Catalan,6,0,2.098999977,0,different,0,61.7255,0,0,0
11399,ENG-CAT,UK,172,poma,pomegranate,wrong,Catalan,7,0,1.799999952,0,different,1,23.6667,0,0.285714285714285,0.2
11399,ENG-CAT,UK,173,porc,park,wrong,Catalan,2,0,0.815999985,0,same_consonant,,,,0.857142857142857,0.375
11399,ENG-CAT,UK,174,porta,tabl,wrong,Catalan,5,0,2.315999985,0,different,0,292.0588,5,0.285714285714285,0.2
11399,ENG-CAT,UK,175,raspall,sleep,wrong,Catalan,6,0,1.43200016,0.2,different,0,14.1569,2,0.2,0.142857142857143
11399,ENG-CAT,UK,176,samarreta,breadstick,wrong,Catalan,9,0,5.649999857,0,different,1,,,0.153846153846153,0.222222222222222
11399,ENG-CAT,UK,177,sol,salt,wrong,Catalan,2,0,2.450000048,0.333333333333333,same_consonant,1,69.6667,13,0.333333333333333,0.333333333333333
11399,ENG-CAT,UK,178,taronja,tractor,wrong,Catalan,5,0,0.88499999,0.166666666666666,different,1,22.3137,0,0.166666666666666,0.285714285714286
11399,ENG-CAT,UK,179,tigre,tiger,correct,Catalan,1,0,0.585000038,0,same_consonant,1,18.5294,0,0.8,0.8
11399,ENG-CAT,UK,180,tisores,desert,wrong,Catalan,5,0,1.249000072,0.166666666666666,different,1,6.6863,1,0.5,0.5
11399,ENG-CAT,UK,181,tobogan,book,wrong,Catalan,5,0,0.948999882,0,different,1,17.8235,2,0.166666666666666,0
11399,ENG-CAT,UK,182,tomaquet,food,wrong,Catalan,7,0,1.866999865,0,same_consonant,1,5.902,0,0.285714285714285,0.375
11399,ENG-CAT,UK,183,tren,green,wrong,Catalan,2,0,2.333000183,0.222222222222222,same_consonant,3,95.0588,0,0.666666666666666,0.6
11399,ENG-CAT,UK,184,ull,look,wrong,Catalan,4,0,2.133000135,0,different,,111.7843,18,0,0
11399,ENG-CAT,UK,185,ulleres,teacher,wrong,Catalan,6,0,2.96600008,0,different,1,33.1176,0,0.166666666666666,0.428571428571429
11399,ENG-CAT,UK,186,ungla,world,wrong,Catalan,4,0,1.217000008,0,different,,18.6471,8,0.222222222222222,0.2
11399,ENG-CAT,UK,187,vaixell,sink,wrong,Catalan,6,0,3.151000023,0,same_consonant,1,95.7843,5,0.444444444444444,0
11399,ENG-CAT,UK,188,xocolata,chocolate,correct,Catalan,3,0,0.315999985,0.133333333333333,different,1,29.3922,0,0.4,0.666666666666667
11399,ENG-CAT,UK,189,zebra,zebra,correct,Catalan,0,1,0.932999849,0.2,same_consonant,2,2.5098,0,0.6,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,104,abella,avellana,wrong,Catalan,3,0,1.348999977,0.2,different,0,7.476,1,0,0.666666666666667
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,105,aigua,agua,correct,Catalan,1,0,0.532999992,0,same_vowel,2,249.9279,0,0.8,0.8
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,106,aixeta,galleta,wrong,Catalan,3,0,1.130000114,0,different,0,2.1875,3,0,0
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,107,amanida,avenida,wrong,Catalan,2,0,0.682999849,0,different,1,23.0048,0,0.133333333333333,0.375
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,108,ampolla,ampolla,false_friend,Catalan,0,1,0.513000011,0,different,1,43.0769,0,0.333333333333333,0.428571428571429
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,109,arbre,arbol,correct,Catalan,2,0,1.09800005,0,same_vowel,1,52.5481,0,0.444444444444444,0.4
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,110,berenar,brazo,wrong,Catalan,5,0,3.59100008,0.142857142857142,different,1,1.5625,0,0.428571428571428,0.5
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,111,bibero,biberon,correct,Catalan,2,0,0.796999931,0,same_consonant,3,1.8029,1,0.769230769230769,0.857142857142857
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,112,bici,bicicleta,correct,Catalan,5,0,1.213999987,0.25,same_consonant,2,5.1923,1,0.75,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,113,boca,boca,correct,Catalan,0,1,0.398000002,0,same_consonant,3,137.9808,0,0.75,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,114,bol,gol,wrong,Catalan,1,0,2.631000042,0.333333333333333,same_consonant,1,1.4663,10,0.666666666666666,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,115,bolet,vuela,wrong,Catalan,4,0,2.864999771,0,different,1,,,0.222222222222222,0.2
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,116,bolquer,volcan,wrong,Catalan,5,0,1.383000135,0.2,different,1,3.9183,0,0.2,0
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,117,boto,boton,typo,Catalan,2,0,2.977999926,0.222222222222222,same_consonant,2,22.2356,0,0.666666666666666,0.8
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,118,bou,abuelo,wrong,Catalan,4,0,2.266000032,0,same_consonant,1,1.9231,4,0.285714285714285,0.25
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,119,caixa,calle,wrong,Catalan,3,0,1.09800005,0,same_consonant,2,112.4519,1,0.5,0.6
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,120,cama,cama,false_friend,Catalan,0,1,0.34800005,0,different,1,51.5144,0,0.2,0.166666666666667
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,121,camisa,camisa,correct,Catalan,0,1,0.089999914,0,same_consonant,3,46.274,0,0.6,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,122,casa,casa,correct,Catalan,0,1,0.166999817,0.25,same_consonant,2,1378.2933,1,0.5,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,123,cavall,caballo,correct,Catalan,2,0,0.516000032,0,same_consonant,2,62.1635,0,0.545454545454545,0.714285714285714
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,124,cirera,sirena,wrong,Catalan,2,0,0.265999794,0.333333333333333,different,2,4.8317,0,0.333333333333333,0.666666666666667
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,125,colom,culo,wrong,Catalan,2,0,4.514000177,0,different,3,6.1298,0,0.545454545454545,0.5
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,126,corona,corona,correct,Catalan,0,1,0.298000097,0.166666666666666,same_consonant,3,13.1731,1,0.666666666666666,1
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,127,cotxe,coche,correct,Catalan,2,0,0.614000082,0.25,same_consonant,1,115.649,0,0.5,0.6
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,128,cuc,cocinar,wrong,Catalan,5,0,1.648000002,0.222222222222222,different,1,10.0962,5,0.222222222222222,0.166666666666667
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,129,dit,dice,wrong,Catalan,2,0,0.534000158,0.285714285714285,same_consonant,1,45.7933,1,0.285714285714285,0.25
55334jfdklgneroijnrpo3994493,SPA-CAT,Spain,130,entrepa,atrapar,wrong,Catalan,5,0,2.032999992,0,different,1,4.6875,0,0.133333333333333,0
